label,n_total,n_2001_2021,n_2020_2024,n_2013_2024,wmed_pooled,wmean_pooled,med_2019,med_2020,med_2021,med_2023
BASELINE (no extra filter),57669,50657,11878,29003,2.9580152671755724,5.298647110546022,2.4815043156596794,3.0194612858734438,2.2428556845664986,2.442094403243167
H1: 33% outlier rule on NNJF (county-mean),44418,39369,8205,22276,3.0035335689045937,3.554959731780474,2.544668336993219,2.9171434019832185,2.482641388688905,2.5281075598892073
H2: emp_lag >= 100,57197,50227,11801,28794,2.8875379939209727,3.1924327635304617,2.480593302753083,3.014013046629621,2.2388059701492535,2.4385666039988103
H2.200: emp_lag >= 200,54935,48253,11301,27614,2.7957256461232602,3.0457107585524286,2.4505588993981084,2.996183071276419,2.2211253701875617,2.4135456327830678
H2.500: emp_lag >= 500,43152,37903,8835,21635,2.5850995504174694,2.7761033525596974,2.339263352477694,2.942988432435567,2.145849794532321,2.3003033367037413
H2.1000: emp_lag >= 1000,29755,26120,6084,14855,2.4500907441016335,2.637349392375937,2.216021035478853,2.9115384615384614,2.05090192563904,2.176873647386677
H3.10: drop NNJF/100 > 10,57245,50290,11791,28847,2.9411764705882355,3.1195571101881945,2.478893559418638,3.0038166091844127,2.237036270204046,2.4313303945656886
H3.5: drop NNJF/100 > 5,55655,48817,11544,28206,2.8412180532898312,2.866494139522182,2.461204220980757,2.9669260700389106,2.2222222222222223,2.413127413127413
H3.3: drop NNJF/100 > 3,39089,33884,8334,19817,2.272727272727273,2.178906344762221,2.1623672230652504,2.5296064089167536,2.048673830903078,2.1148907482132024
H4: drop SYs with any NaN among 4 FrmJbLsS quarters,57669,50657,11878,29003,2.9580152671755724,5.298647110546022,2.4815043156596794,3.0194612858734438,2.2428556845664986,2.442094403243167
"H5: balanced panel (counties w/ all 24 yrs, n=1775)",42600,37275,8875,21300,2.956989247311828,5.5744814051949225,2.478448275862069,3.0415430267062313,2.204030226700252,2.4073650503202195
H6: rate normalized by EmpS (stable emp) Q4-lag,57668,50656,11877,29002,3.5860655737704916,inf,2.890279823269514,3.542133675973729,2.606362591031046,2.8567103062460353
H7: combine 33%-NNJF + emp_lag>=100,44167,39136,8174,22172,2.9445727482678983,3.0273047614463957,2.543859649122807,2.9139931443976494,2.480417754569191,2.5253038164811907
H8: drop counties w/ FrmJbLs/FrmJbGn > 1.5 mean (n=40),57025,50066,11768,28707,2.963917525773196,5.333014859203942,2.487281976744186,3.0212483399734396,2.246112810173836,2.4431785570797224
H9: drop SYs with 2+ zero quarters,40598,35514,9055,20866,2.910958904109589,6.0288264977507735,2.384830229663385,3.0303030303030303,2.2033366992532093,2.3802211832093993
H10: 33% rule using 2013+ county-mean,52195,46624,8913,23529,2.9761904761904763,5.36501710918632,2.4922118380062304,2.8725056164926652,2.4357137609286603,2.487671526586621
