hypothesis,pooled_median,pooled_mean,median_2019,mean_2019,median_2020,mean_2020,median_2021,mean_2021,median_2023,mean_2023,pooled_median_target,pooled_mean_target,ratio_med,ratio_mean,closeness
"H5c: 100*avg(max(FrmJbLsS-FrmJbGnS,0))/(4*EmpTotal_q4_lag)",0.700509461426492,1.331277230894579,0.6602112676056338,0.7542556963368604,0.7375776397515528,0.8102688088812292,0.5838523131672598,0.7073610745746421,0.6529850746268657,0.6968191251047455,1.08,3.32,0.6486198716911962,0.40098711773933104,0.47076184934725607
H2: 100*avg(FrmJbLsS)/sum(EmpTotal) = BASELINE/4,0.7614213197969543,0.8810118284719084,0.7107133456172677,0.7836341410112606,0.8550185873605948,0.9144827927392634,0.6233062330623306,0.6880066806103585,0.7129455909943715,0.7652913694277724,1.08,3.32,0.7050197405527354,0.265365008575876,0.5290264268553324
"H7: 100*avg(FrmJbLsS over q3,q4,q1)/EmpTotal_q4_lag",1.0358688930117501,4.413476785293731,1.0256410256410255,1.7302598699199896,2.0559210526315788,2.4367527652598713,1.1570005858230814,1.9400160167662315,1.292517006802721,1.6150173620300503,1.08,3.32,0.9591378638997685,1.3293604774981118,0.9589945979252927
H11: median across 4 per-quarter FrmJbLsS/EmpS rates,1.6467065868263473,2.173372081346777,1.552433213332867,2.85232024038609,2.9282255436416156,3.029449361097915,1.4231499051233396,1.6901097270307608,1.6362955858616575,2.201489084845967,1.08,3.32,1.5247283211355067,0.654630144983969,1.2772264550061745
"H5: 100*avg(max(FrmJbLsS-FrmJbGnS,0))/EmpTotal_q4_lag",2.802037845705968,5.325108923578316,2.640845070422535,3.0170227853474416,2.950310559006211,3.241075235524917,2.3354092526690393,2.8294442982985686,2.611940298507463,2.787276500418982,1.08,3.32,2.5944794867647847,1.6039484709573242,1.6838928313645531
H6: state-aggregated rate assigned to county,2.6269822862609806,2.665842820439457,2.481406875998251,2.51930511787399,3.1439314810946315,3.243353560412459,2.4490119077780594,2.3935926623954615,2.6938979948552206,2.5765185839634155,1.08,3.32,2.432391005797204,0.8029647049516436,1.686927337211193
"H5b: 100*sum(max(FrmJbLsS-FrmJbGnS,0))/sum(EmpTotal)",2.8683914510686166,3.314571647353042,2.6755852842809364,2.948956589657068,3.1019202363367797,3.362977622847463,2.3629489603024574,2.5823797749364337,2.6079136690647484,2.8075009521428322,1.08,3.32,2.655918010248719,0.9983649540220008,1.70324582862328
BASELINE: 100*avg(FrmJbLsS)/EmpTotal_q4_lag,2.984550561797753,5.550054084189272,2.7857142857142856,3.201973484610232,3.271484375,3.526867006375421,2.48,3.002335974660527,2.8359030837004404,3.060099325663829,1.08,3.32,2.7634727424053267,1.6717030374064072,1.7563287192306578
H1: 100*sum(FrmJbLsS)/sum(EmpTotal),3.045685279187817,3.5240473138876336,2.842853382469071,3.1345365640450424,3.420074349442379,3.6579311709570534,2.4932249322493223,2.752026722441434,2.851782363977486,3.0611654777110897,1.08,3.32,2.8200789622109417,1.061460034303504,1.7755089976640785
H4: 100*avg(FrmJbLsS)/avg(EmpTotal over 4q),3.045685279187817,3.5240473138876336,2.842853382469071,3.1345365640450424,3.420074349442379,3.6579311709570534,2.4932249322493223,2.752026722441434,2.851782363977486,3.0611654777110897,1.08,3.32,2.8200789622109417,1.061460034303504,1.7755089976640785
H3: mean per-quarter rate (EmpTotal denom),3.0389127081121146,3.4020339562174087,2.83468633170371,3.0513891299971223,3.489157249139503,3.737343337659593,2.4695484153207077,2.6938959645825205,2.8434332231800585,3.0426051131671454,1.08,3.32,2.8138080630667726,1.0247090229570508,1.7759932231736806
H10: 100*sum(FrmJbLs)/sum(EmpTotal),3.2142857142857144,3.8159419667616614,2.7477919528949952,3.259560319158074,4.307116104868914,4.554178002617041,2.4475524475524475,3.0135808844992473,2.6252408477842004,2.977914682934232,1.08,3.32,2.9761904761904763,1.14938011047038,1.8053519698894014
H9: 100*avg(FrmJbLsS)/avg(EmpS),3.6770280515542075,7.163621592957021,3.3707865168539324,3.973369936761442,4.117647058823529,4.51915092550271,2.9411764705882355,3.4808192787456513,3.4146341463414633,3.8038771704281413,1.08,3.32,3.4046556032909328,2.1577173472762112,1.9534480294415222
H8: 100*FrmJbLsS_q2/EmpTotal_q4_lag (Q2 only),8.16326530612245,8.994977309007513,7.407407407407407,7.697345160290601,6.074766355140187,7.174333040225799,5.511811023622047,6.209732026129595,6.7114093959731544,7.386439884422621,1.08,3.32,7.558578987150415,2.7093305147612994,2.6089595590779195
