year,t_med,t_mean,t_p25,t_p75,leavers_K,n_med,n_mean,n_p25,n_p75,nnjf_K
2001,0.2713178294573643,0.2767630432048426,0.22706422018348624,0.3250497017892644,1451.856,0.6430868167202572,0.729409762858483,0.4588839941262849,0.8848388800845219,124.58275
2002,0.27113702623906705,0.28192102404685887,0.2310838445807771,0.31833910034602075,1957.133,0.7212925562608193,0.8018172606710091,0.4983388704318937,0.945829750644884,153.062
2003,0.2621231979030144,0.2708497003368183,0.22442244224422442,0.3076923076923077,1960.998,0.7657657657657657,0.9343446564804951,0.5460750853242321,1.0135135135135136,168.197
2004,0.2557077625570776,0.2629345609696045,0.21921182266009853,0.29936305732484075,1922.883,0.7321274763135228,0.8591808581849719,0.5319148936170213,0.9803921568627451,176.82375
2005,0.25866666666666666,0.26606172059583694,0.21810699588477367,0.3045751633986928,1932.51,0.7246376811594203,1.0113734493122575,0.5220154334997731,0.9724857685009488,176.289
2006,0.25868725868725867,0.2706680418789334,0.21802679658952498,0.305019305019305,2022.058,0.726442507264425,0.8973715920244385,0.5484460694698354,0.9866856871136471,192.5975
2007,0.2577777777777778,0.2659712009588385,0.22044728434504793,0.3035589672016748,2003.067,0.7250085295121119,0.9609218576759159,0.5317353139770425,0.9563577586206896,189.529
2008,0.2588996763754045,0.2643600466791898,0.2150323544051767,0.30078125,1981.15,0.7398753894080997,0.8244920014182742,0.5246589716684156,0.9721653704461727,175.93975
2009,0.24285714285714285,0.2502951095211023,0.20105820105820105,0.29022556390977444,1900.224,0.7075471698113207,0.7641011129292199,0.5074377867371055,0.9193054136874361,183.522
2010,0.2345679012345679,0.2445554217792513,0.19661458333333334,0.2771509167842031,1716.225,0.7260820045558086,0.8437492625759241,0.549976087996174,0.9505703422053232,206.3135
2011,0.2306910569105691,0.24244967687969374,0.19020172910662825,0.2801724137931034,1630.903,0.7439599292869771,0.9768841425437292,0.5571474052849411,0.975800156128025,191.499
2012,0.23236514522821577,0.2441115318997044,0.19444444444444445,0.2777777777777778,1641.875,0.7273274478330658,0.8362128496006919,0.5506030414263241,0.927487352445194,183.3855
2013,0.2433234421364985,0.252990189841154,0.20093457943925233,0.2931937172774869,1802.214,0.7352941176470589,0.7872321738212636,0.5541871921182266,0.9449244060475162,183.19625
2014,0.24242424242424243,0.2517518792091028,0.20378457059679767,0.2918149466192171,1817.513,0.7404749478079332,0.8008037071030988,0.5586403033586133,0.9523809523809523,175.9205
2015,0.24431818181818182,0.25324133982170055,0.2032520325203252,0.2891891891891892,1918.85,0.7501071581654523,0.823590427049542,0.5688391824141921,0.9720649301623254,178.475
2016,0.2396694214876033,0.24886443690401688,0.20144628099173553,0.2853333333333333,1930.034,0.7194244604316546,0.7902083196166243,0.5313634007257646,0.9333958724202627,175.1065
2017,0.23586744639376217,0.24544956151854191,0.20178041543026706,0.28184281842818426,1950.983,0.7120253164556962,0.7824023920890342,0.5298013245033113,0.9334415584415584,182.71775
2018,0.23923444976076555,0.24474030950933168,0.19938650306748465,0.2835820895522388,1947.272,0.6941669996004795,0.7394379612646618,0.5330490405117271,0.9088645418326693,180.8735
2019,0.23993070593330446,0.24721339574045134,0.2033898305084746,0.28386062108179033,1949.64,0.6688963210702341,0.7372335337789999,0.514759475218659,0.8455210237659964,174.20275
2020,0.29852125693160814,0.304023975322253,0.2479108635097493,0.3507853403141361,2528.394,0.7754800590841949,0.8407663014340098,0.6140350877192983,0.960603112840467,252.69425
2021,0.23959571938168847,0.24641289621166668,0.1987179487179487,0.2869198312236287,1437.345,0.5907372400756143,0.645594113911662,0.4376930998970134,0.7660878447395302,146.519
2022,0.26495726495726496,0.27094358623700987,0.22742474916387959,0.3105263157894737,2192.322,0.6302131603336423,0.7197469421373919,0.45787545787545786,0.7972322503008423,151.29575
2023,0.2617924528301887,0.2682840425155835,0.22826086956521738,0.3035230352303523,2149.52,0.6519784172661871,0.7018764250474614,0.49765807962529274,0.8350730688935282,161.90075
2024,0.2537313432835821,0.25871108641683876,0.21841004184100418,0.2922077922077922,2115.347,0.6443298969072165,0.7029662976445603,0.490702479338843,0.8221993833504625,165.223
